################################################################
# abuse.ch SSLBL Botnet C2 IP Blacklist (CSV)                  #
# Last updated: 2024-10-19 21:37:30 UTC                        #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# Firstseen,DstIP,DstPort
2024-10-19 21:37:30,65.109.142.154,443
2024-10-19 19:41:31,198.154.99.162,6615
2024-10-19 08:29:05,154.216.19.187,56001
2024-10-18 12:42:36,193.109.85.43,443
2024-10-18 10:13:10,193.201.9.187,2049
2024-10-17 00:42:46,147.45.116.47,8810
2024-10-16 15:06:26,185.106.92.109,8810
2024-10-16 14:52:19,185.106.92.110,8810
2024-10-16 14:52:19,185.106.92.108,8810
2024-10-16 00:32:52,65.109.241.236,443
2024-10-16 00:14:06,45.202.35.41,2085
2024-10-15 21:09:11,46.253.4.252,6606
2024-10-15 20:55:32,185.196.10.98,4444
2024-10-13 04:04:46,116.203.12.50,443
2024-10-10 17:53:12,198.251.84.78,6495
2024-10-10 07:10:59,45.152.161.204,4782
2024-10-10 06:19:14,185.234.72.78,56002
2024-10-09 05:09:19,162.248.94.226,4449
2024-10-08 11:07:17,94.141.169.46,911
2024-10-07 22:01:45,165.22.194.189,5613
2024-10-07 15:34:44,49.12.106.214,443
2024-10-06 14:11:49,95.156.206.105,443
2024-10-06 14:11:49,95.156.206.105,443
2024-10-05 10:02:55,185.177.125.198,223
2024-10-05 00:04:56,147.45.126.71,3752
2024-10-04 19:49:29,141.98.234.114,8042
2024-10-04 19:49:29,185.106.92.80,8042
2024-10-04 19:49:28,82.115.223.150,8042
2024-10-03 14:50:44,135.181.4.162,2423
2024-10-03 12:55:19,154.216.20.132,7000
2024-10-03 01:55:24,78.111.75.75,56001
2024-10-02 23:22:58,20.82.98.38,1606
2024-10-02 22:46:29,51.79.73.224,5555
2024-10-01 13:43:46,172.94.108.143,7784
2024-10-01 10:39:21,49.12.197.9,443
2024-09-30 02:39:19,45.138.16.135,56002
2024-09-26 18:46:58,193.149.187.135,8080
2024-09-25 13:17:56,52.252.190.167,56001
2024-09-25 12:14:46,139.180.202.227,4782
2024-09-25 11:36:13,5.75.211.162,443
2024-09-23 01:46:13,143.92.57.11,2048
2024-09-23 00:27:10,94.141.120.29,56001
2024-09-22 16:39:02,105.188.114.89,4444
2024-09-22 15:25:54,20.191.119.21,4782
2024-09-22 15:00:13,116.203.15.34,443
2024-09-22 10:55:21,109.67.152.130,23210
2024-09-21 18:36:48,136.244.80.89,1024
2024-09-21 17:45:55,34.31.210.192,8808
2024-09-21 16:36:14,212.192.12.222,5008
2024-08-22 02:15:40,103.238.227.183,443
2024-07-29 02:32:32,176.111.174.140,8808
# END (51) entries
