#domain,ioc
1488.winstate.cc,Possible Cobalt Strike C2 Domain
1c-marketing.top,Possible Cobalt Strike C2 Domain
21hjgt71f.sharedomain.top,Possible Cobalt Strike C2 Domain
28489294.xyz,Possible Cobalt Strike C2 Domain
360.wangli.cyou,Possible Cobalt Strike C2 Domain
3g.ali213.net,Possible Cobalt Strike C2 Fronted Domain
3gjanc04hk.execute-api.us-east-2.amazonaws.com,Possible Cobalt Strike C2 Domain
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Domain
7b7cd24ea6f08b711cf4053beac43cc5.melonhack.top,Possible Cobalt Strike C2 Domain
Jango-pulse.com,Possible Cobalt Strike C2 Domain
a.pain.capetown,Possible Cobalt Strike C2 Domain
a2ef406e2c2351e0b9e80029c909242d.melonhack.top,Possible Cobalt Strike C2 Domain
aaa.ad4min.com,Possible Cobalt Strike C2 Domain
aawwn.azureedge.net,Possible Cobalt Strike C2 Domain
action-winds.cfd,Possible Cobalt Strike C2 Domain
ad.urlz.ws,Possible Cobalt Strike C2 Domain
admin.usaid2.org,Possible Cobalt Strike C2 Domain
aerh.azureedge.net,Possible Cobalt Strike C2 Domain
api.rayob2.shop,Possible Cobalt Strike C2 Domain
apiv2.huya.com,Possible Cobalt Strike C2 Fronting Domain
as.scsvcreg.com,Possible Cobalt Strike C2 Domain
baidu.freemetb.top,Possible Cobalt Strike C2 Domain
bb.makkgg.fyi,Possible Cobalt Strike C2 Domain
beacon.etallyall.com,Possible Cobalt Strike C2 Domain
berita-banten.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronting Domain
bliblyuvblfds.work.gd,Possible Cobalt Strike C2 Domain
blm-wiki.com,Possible Cobalt Strike C2 Domain
blmdiscount.com,Possible Cobalt Strike C2 Domain
bola.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronted Domain
breakingnews.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronted Domain
c.hcgos.com,Possible Cobalt Strike C2 Domain
c.qqwhoami.org,Possible Cobalt Strike C2 Domain
c1.tqrjfru.cn,Possible Cobalt Strike C2 Domain
c2.marfei.zone,Possible Cobalt Strike C2 Domain
canarapay-f5hghmdjd7eddbb4.z02.azurefd.net,Possible Cobalt Strike C2 Domain
cc.cert-ex.net,Possible Cobalt Strike C2 Domain
cc.youku.zip,Possible Cobalt Strike C2 Domain
cdn-carbonat.kimcuonghoanmy.shop,Possible Cobalt Strike C2 Domain
cdn.dadadsadaccsoong.top,Possible Cobalt Strike C2 Domain
cdn.efstech.de,Possible Cobalt Strike C2 Domain
cf907cd9e8f94a93937a6360363420b2.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain
chat.icbcbc.com.cn,Possible Cobalt Strike C2 Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
chniabank.com,Possible Cobalt Strike C2 Domain
cins.hin7lostvas.pro,Possible Cobalt Strike C2 Domain
cityoall.com,Possible Cobalt Strike C2 Domain
cloud.tencent-cs.com,Possible Cobalt Strike C2 Fronting Domain
clouds.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
cn1.cdngw.com,Possible Cobalt Strike C2 Domain
contact.mwam.support,Possible Cobalt Strike C2 Domain
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain
cs.h1ll0.cs.in,Possible Cobalt Strike C2 Domain
cs.xfdaili.com,Possible Cobalt Strike C2 Domain
d1v4b6pbk0kwvw.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain
d20pexcm9ot6hj.cloudfront.net,Possible PoshC2 Fronted Domain
d2ewlfde9nvzf.cloudfront.net,Possible Cobalt Strike C2 Domain
d2ewlfde9nvzf.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain
