#domain,ioc,uri_path
1488.winstate.cc,Possible Cobalt Strike C2 Domain,/push
21hjgt71f.sharedomain.top,Possible Cobalt Strike C2 Domain,/api/3
28489294.xyz,Possible Cobalt Strike C2 Domain,/activity
3g.ali213.net,Possible Cobalt Strike C2 Fronted Domain,/info
3gjanc04hk.execute-api.us-east-2.amazonaws.com,Possible Cobalt Strike C2 Domain,/v1/get
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Domain,/pixel.gif
7b7cd24ea6f08b711cf4053beac43cc5.melonhack.top,Possible Cobalt Strike C2 Domain,/api/get
Jango-pulse.com,Possible Cobalt Strike C2 Domain,/Validate/v8.18/84LE6PSOHS
a.pain.capetown,Possible Cobalt Strike C2 Domain,/pixel.gif
a2ef406e2c2351e0b9e80029c909242d.melonhack.top,Possible Cobalt Strike C2 Domain,/api/get
aawwn.azureedge.net,Possible Cobalt Strike C2 Domain,/w3c.js
ad.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
admin.usaid2.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
aerh.azureedge.net,Possible Cobalt Strike C2 Domain,/w3c.js
api.rayob2.shop,Possible Cobalt Strike C2 Domain,/Content
apiv2.huya.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
as.scsvcreg.com,Possible Cobalt Strike C2 Domain,/eo
baidu.freemetb.top,Possible Cobalt Strike C2 Domain,/azure/api/v2/userinfo/get
bb.makkgg.fyi,Possible Cobalt Strike C2 Domain,/pixel.gif
bb.makkgg.fyi,Possible Cobalt Strike C2 Domain,/push
beacon.etallyall.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
berita-banten.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronting Domain,/dhl
big-walls.com,Possible Cobalt Strike C2 Fronted Domain,/ch
bliblyuvblfds.work.gd,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
blm-wiki.com,Possible Cobalt Strike C2 Domain,/Validate/v8.18/84LE6PSOHS
bola.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronted Domain,/ee
boom.baiduboomboom.tk,Possible Cobalt Strike C2 Domain,/__utm.gif
breakingnews.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronted Domain,/ee
c.hcgos.com,Possible Cobalt Strike C2 Domain,/ca
c.qqwhoami.org,Possible Cobalt Strike C2 Domain,/updates
c1.tqrjfru.cn,Possible Cobalt Strike C2 Domain,/dpixel
c2.marfei.zone,Possible Cobalt Strike C2 Domain,/activity
canarapay-f5hghmdjd7eddbb4.z02.azurefd.net,Possible Cobalt Strike C2 Domain,/safebrowsing/I7F9L/s0Rm6WOzIDfYrB6YAi2d
cc.cert-ex.net,Possible Cobalt Strike C2 Domain,/__utm.gif
cc.youku.zip,Possible Cobalt Strike C2 Domain,/functionalStatus/
cdn-lnk-075.epsonupdate.uk,Possible Cobalt Strike C2 Domain,/load
cdn.efstech.de,Possible Cobalt Strike C2 Domain,/adstats/v2/q
cf907cd9e8f94a93937a6360363420b2.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob
chat.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/omp/api/micro_app/get_org_app
check.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
check.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/g.pixel
check1.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
chniabank.com,Possible Cobalt Strike C2 Domain,/api/x
cins.hin7lostvas.pro,Possible Cobalt Strike C2 Domain,/case.css
cityoall.com,Possible Cobalt Strike C2 Domain,/activity
cloud.tencent-cs.com,Possible Cobalt Strike C2 Fronting Domain,/ca
clouds.localhost-microsoft.com,Possible Cobalt Strike C2 Domain,/image/
cn1.cdngw.com,Possible Cobalt Strike C2 Domain,/TealeafTarget.php
contact.mwam.support,Possible Cobalt Strike C2 Domain,/messages/C0527B0NM
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain,/updates.rss
cs.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/updates.rss
cs.xfdaili.com,Possible Cobalt Strike C2 Domain,/activity
cs.xfdaili.com,Possible Cobalt Strike C2 Domain,/updates.rss
d20pexcm9ot6hj.cloudfront.net,Possible PoshC2 Fronted Domain,/wpaas/load.php/
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob
d8g.lol,Possible Cobalt Strike C2 Domain,/api/3
d9msk9dy9tbnk.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/jquery-2.8.4.min.js
dbgrw1.azurefd.net,Possible Cobalt Strike C2 Domain,/__utm.gif
dct4jph3as9lp.cloudfront.net,Possible Cobalt Strike C2 Domain,/ms
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dir.cdn-delivery-xyz.com,Possible Cobalt Strike C2 Domain,/imagenes/58417/barra.jpg
dir.cdn-delivery-xyz.com,Possible Cobalt Strike C2 Domain,/ki
dns.byresolved.com,Possible Cobalt Strike C2 Domain,/acct.php
dns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
dns.cityoall.com,Possible Cobalt Strike C2 Domain,/pixel
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/fwlink
dns.ontexcare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dns.otxcarecosmetics.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dns.otxcosmeticscare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dns.t0nger.com,Possible Cobalt Strike C2 Domain,/pixel
dns.trailcosolutions.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
download.localhost-microsoft.com,Possible Cobalt Strike C2 Domain,/image/
download.updatebrowser.cn,Possible Cobalt Strike C2 Fronted Domain,/0RZDKXR/ADGJJ4B3VRSPAV9KC3MXI80OFD.css
dr-hoefler.de,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain,/cm
dvbtools.com,Possible Cobalt Strike C2 Domain,/DocumentId
european.pornvideo.mynetav.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob
faceboy.shop,Possible Cobalt Strike C2 Domain,/functionalStatus/UdV4kcIWNYksdzob3mbtIBDhLViCeeVlP
fibersee.com,Possible Cobalt Strike C2 Fronted Domain,/ch
files.jslibc.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
finance.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronted Domain,/dhl
find-ball.com,Possible Cobalt Strike C2 Fronted Domain,/ch
firmware-yrs-conflicts-favorites.trycloudflare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
flashl.tw,Possible Cobalt Strike C2 Fronted Domain,/mylibs.js
goldensoftware.co.uk,Possible Cobalt Strike C2 Domain,/visit.js
i.xlei.cc,Possible Cobalt Strike C2 Domain,/ca
ikea0.com,Possible Cobalt Strike C2 Domain,/Dequeue/mqseries/D7W0GTJFY
investment.kumbaraan.biz.id,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
io.cy789.ml,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
ipv6.beijing-qax.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain,/push
jspassport.ssl.qhimg.com.dsa.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
jxvtcm.cn,Possible Cobalt Strike C2 Domain,/Complete/pr/H6TCQRWR
keolisgroup.azureedge.net,Possible Cobalt Strike C2 Domain,/onedrive
kh1.userjoy.com,Possible Cobalt Strike C2 Fronted Domain,/ca
lebondogicoin.com,Possible Cobalt Strike C2 Domain,/Dequeue/mqseries/D7W0GTJFY
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain,/api/3
log.speech-microsoft.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2017/12/29132a9e7a0e9a9e2
login.oraclecloudsig.com,Possible Cobalt Strike C2 Fronting Domain,/translated
login.processus.network,Possible Cobalt Strike C2 Fronted Domain,/Collector/2.0/settings/
logs.speech-microsoft.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2017/12/29132a9e7a0e9a9e2
m.old.gxjczx.gov.cn,Possible Cobalt Strike C2 Fronted Domain,/info
mailtest.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/omp/api/micro_app/get_org_app
miao.xiaogoubi.top,Possible Cobalt Strike C2 Domain,/idle/1376547834/1
microsoftwindows.one,Possible Cobalt Strike C2 Domain,/api/3
mpr23-421-c2.westus2.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/tip.php
n1.johnchen88.com,Possible Cobalt Strike C2 Domain,/push
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain,/updates.rss
nimappche.buzz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
nodejsmysql.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns.b1ing.com,Possible Cobalt Strike C2 Domain,/dot.gif
ns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
ns.n0reply.eu.org,Possible Cobalt Strike C2 Domain,/api-opt-2023-gfr/3
