#domain,ioc,uri_path,ip
1488.winstate.cc,Possible Cobalt Strike C2 Domain,/push,185.196.9.234
1c-marketing.top,Possible Cobalt Strike C2 Domain,/v1,185.196.8.18
21hjgt71f.sharedomain.top,Possible Cobalt Strike C2 Domain,/api/3,142.171.229.46
28489294.xyz,Possible Cobalt Strike C2 Domain,/activity,154.9.246.151
360.wangli.cyou,Possible Cobalt Strike C2 Domain,/dot.gif,154.198.227.90
3g.ali213.net,Possible Cobalt Strike C2 Fronted Domain,/info,124.223.220.143
3gjanc04hk.execute-api.us-east-2.amazonaws.com,Possible Cobalt Strike C2 Domain,/v1/get,167.99.112.140
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Domain,/pixel.gif,47.237.82.113
7b7cd24ea6f08b711cf4053beac43cc5.melonhack.top,Possible Cobalt Strike C2 Domain,/api/get,38.6.178.161
Jango-pulse.com,Possible Cobalt Strike C2 Domain,/Validate/v8.18/84LE6PSOHS,194.165.16.59
a.pain.capetown,Possible Cobalt Strike C2 Domain,/pixel.gif,88.214.25.36
a2ef406e2c2351e0b9e80029c909242d.melonhack.top,Possible Cobalt Strike C2 Domain,/api/get,89.213.184.158
aaa.ad4min.com,Possible Cobalt Strike C2 Domain,/load,198.13.42.85
aawwn.azureedge.net,Possible Cobalt Strike C2 Domain,/w3c.js,64.23.165.12
action-winds.cfd,Possible Cobalt Strike C2 Domain,/data,185.196.8.18
ad.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.54.86.90
admin.usaid2.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,154.81.35.71
aerh.azureedge.net,Possible Cobalt Strike C2 Domain,/w3c.js,159.89.187.246
api.rayob2.shop,Possible Cobalt Strike C2 Domain,/Content,43.153.202.176
apiv2.huya.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,43.138.10.232
as.scsvcreg.com,Possible Cobalt Strike C2 Domain,/eo,5.188.86.28
baidu.freemetb.top,Possible Cobalt Strike C2 Domain,/azure/api/v2/userinfo/get,107.173.144.77
bb.makkgg.fyi,Possible Cobalt Strike C2 Domain,/pixel.gif,116.205.189.199
