"domain","lastSeen","ip4","ip4Asn","ip4NumCve","ip4Portlist","ip6","ip6Asn","ip6NumCve","ip6Portlist","ip6Prefix","category","subcategory","type","twin_config","dualstak"
"213.21.41.168.dynamic-pppoe.dt.ipv4.wtnet.de","01/07/22-21:21","213.21.41.168","15943",0,"[9001,9030]","2a04:4540:6417:2200:dea6:32ff:feab:666a","15943",0,"[9001]","2a04:4540:6417:2200::","anonymization","TOR","proxy",false,true
"121.99.135.83.in-addr.arpa.","01/07/22-21:11","83.135.99.121","8881",0,"[]","2001:470:1f0b:1173:749c:55ff:fe52:ca2d","6939",0,"[]","2001:470:1f0b:1173::","anonymization","TOR","proxy",true,true
"16.99.255.5.in-addr.arpa.","01/07/22-21:30","5.255.99.16","60404",15,"[443,22]","2a04:52c0:104:4159::1","60404",15,"[22,443]","2a04:52c0:104:4159::","anonymization","TOR","proxy",true,true
"alvisit.com","01/07/22-21:30","3.12.173.180","16509",0,"[80]","2600:1f16:389:3120:b1d0:2a0e:f27d:3ee1","16509",0,"[80]","2600:1f16:389:3120::","malware","C&C","botnet",true,true
"vps-a26a4392.vps.ovh.net","01/07/22-21:40","37.187.49.191","16276",15,"[80,22,443]","2001:41d0:52:900::421","16276",15,"[443,22]","2001:41d0:52:900::","anonymization","TOR","proxy",false,true
"dyslexic-picture.000webhostapp.com","01/07/22-21:46","145.14.145.187","204915",0,"[80,32768,2049,443,8080,32767]","2a02:4780:dead:2a12::1","204915",0,"[2049,80,8080,32768,443,32767]","2a02:4780:dead:2a12::","malware","C&C","botnet",true,true
"hvhcsgo.000webhostapp.com","01/07/22-21:46","145.14.145.187","204915",0,"[80,32768,2049,443,8080,32767]","2a02:4780:dead:2a12::1","204915",0,"[2049,80,8080,32768,443,32767]","2a02:4780:dead:2a12::","malware","C&C","botnet",true,true
"by1337.000webhostapp.com","01/07/22-21:46","145.14.145.187","204915",0,"[80,32768,2049,443,8080,32767]","2a02:4780:dead:2a12::1","204915",0,"[2049,80,8080,32768,443,32767]","2a02:4780:dead:2a12::","malware","C&C","botnet",true,true
"unobscured-evaluati.000webhostapp.com","01/07/22-21:46","145.14.145.187","204915",0,"[80,32768,2049,443,8080,32767]","2a02:4780:dead:2a12::1","204915",0,"[2049,80,8080,32768,443,32767]","2a02:4780:dead:2a12::","malware","C&C","botnet",true,true
"scogcs.000webhostapp.com","01/07/22-21:46","145.14.145.187","204915",0,"[80,32768,2049,443,8080,32767]","2a02:4780:dead:2a12::1","204915",0,"[2049,80,8080,32768,443,32767]","2a02:4780:dead:2a12::","malware","C&C","botnet",true,true
"tragee.000webhostapp.com","01/07/22-21:46","145.14.145.187","204915",0,"[80,32768,2049,443,8080,32767]","2a02:4780:dead:2a12::1","204915",0,"[2049,80,8080,32768,443,32767]","2a02:4780:dead:2a12::","malware","C&C","botnet",true,true
"romasshved41.000webhostapp.com","01/07/22-21:46","145.14.145.187","204915",0,"[80,32768,2049,443,8080,32767]","2a02:4780:dead:2a12::1","204915",0,"[2049,80,8080,32768,443,32767]","2a02:4780:dead:2a12::","malware","C&C","botnet",true,true
"jehard.000webhostapp.com","01/07/22-21:46","145.14.145.187","204915",0,"[80,32768,2049,443,8080,32767]","2a02:4780:dead:2a12::1","204915",0,"[2049,80,8080,32768,443,32767]","2a02:4780:dead:2a12::","malware","C&C","botnet",true,true
